Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.472783,-0.45949078
3,-0.7144237,-0.78251576
4,-0.7197877,-1.2238977
5,-0.6617355,-1.6551147
6,-0.60944736,-2.0547156
7,-0.5609986,-2.4251912
8,-0.51583743,-2.770052
9,-0.4737616,-3.0893908
10,-0.434764,-3.3864517
11,-0.3983957,-3.6616018
12,-0.3647442,-3.917431
13,-0.33333242,-4.154391
14,-0.30431852,-4.374642
15,-0.277181,-4.578663
16,-0.2521885,-4.7682023
17,-0.2287484,-4.9438205
18,-0.20727095,-5.106845
19,-0.18711087,-5.258019
20,-0.1687724,-5.3982325
21,-0.15169804,-5.5287824
22,-0.13652565,-5.6506166
23,-0.124960706,-5.767167
24,-0.11898143,-5.881615
25,-0.12394411,-6.0047655
26,-0.1414203,-6.148778
27,-0.15247892,-6.331905
28,-0.15316062,-6.4863205
29,-0.13975948,-6.5360093
30,-0.046985574,-6.566029
31,0.004108799,-6.6008596
32,0.005635542,-6.642335
33,-0.0011790912,-6.6430125
34,-0.0018339001,-6.6015396
35,0.048338655,-6.5668907
36,0.13561358,-6.5360975
37,0.1562765,-6.488365
38,0.1551139,-6.335045
39,0.14207548,-6.147677
40,0.12444551,-6.0034723
41,0.11946839,-5.880117
42,0.1250367,-5.7654195
43,0.13671869,-5.649001
44,0.15181969,-5.52714
45,0.168908,-5.3966584
46,0.18722601,-5.256474
47,0.20738597,-5.10535
48,0.22884874,-4.942382
49,0.25228378,-4.7668195
50,0.2772667,-4.5773377
51,0.30439323,-4.373373
52,0.3334046,-4.1531806
53,0.3648021,-3.9162872
54,0.3984488,-3.660524
55,0.43479908,-3.3854504
56,0.47380003,-3.088447
57,0.51584667,-2.769175
58,0.5610234,-2.4243565
59,0.60940456,-2.0539508
60,0.6617305,-1.6544771
61,0.71968126,-1.2233374
62,0.71403766,-0.78219676
63,0.47252446,-0.4592347
64,0.0,0.0
65,0.0,0.0
128,0.0,0.0
129,0.0,0.0
192,0.0,0.0
193,0.0,0.0
256,0.0,0.0
257,0.0,0.0
320,0.0,0.0
321,0.0,0.0
384,0.0,0.0
385,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.18020716,-0.22526836
451,0.29358917,-0.61476564
452,0.3569054,-1.0796406
453,0.41428417,-1.5036454
454,0.46914175,-1.9059772
455,0.51780486,-2.2744548
456,0.56505334,-2.620255
457,0.60699517,-2.9385488
458,0.64769965,-3.2359183
459,0.6839431,-3.5105236
460,0.7189138,-3.7663612
461,0.7502415,-4.003074
462,0.7802976,-4.2231965
463,0.8073499,-4.427116
464,0.83311546,-4.616555
465,0.8563846,-4.792153
466,0.8784318,-4.9551926
467,0.8983017,-5.106323
468,0.9166839,-5.246481
469,0.93317264,-5.376446
470,0.9481247,-5.4965153
471,0.94939244,-5.6032705
472,0.9329232,-5.694481
473,0.89930624,-5.771169
474,0.8495812,-5.832245
475,0.7910887,-5.8832917
476,0.7286682,-5.9229198
477,0.65615195,-5.9478145
478,0.55440843,-5.9499235
479,0.41989034,-5.925352
480,0.2121259,-5.835668
481,-0.21326034,-5.83497
482,-0.41774878,-5.922078
483,-0.5508682,-5.945935
484,-0.6542406,-5.945785
485,-0.72936475,-5.9215007
486,-0.79053175,-5.8815565
487,-0.8483589,-5.830366
488,-0.89880455,-5.7693577
489,-0.93216634,-5.692787
490,-0.9495863,-5.601943
491,-0.9476758,-5.494988
492,-0.9326219,-5.3748827
493,-0.91620475,-5.2450266
494,-0.89780515,-5.104872
495,-0.87798864,-4.9538236
496,-0.85593665,-4.7908
497,-0.83270574,-4.6152787
498,-0.80695707,-4.4258676
499,-0.7799344,-4.2220197
500,-0.7498878,-4.001936
501,-0.718589,-3.7652974
502,-0.6836409,-3.5095148
503,-0.6474166,-3.23495
504,-0.60673267,-2.9376416
505,-0.56481564,-2.6194344
506,-0.5175884,-2.2736824
507,-0.4689476,-1.9052937
508,-0.41411194,-1.5030854
509,-0.35672784,-1.0791273
510,-0.2934928,-0.61431193
511,-0.18008484,-0.22495699
512,0.0,0.0
