Id,X_Coord,Y_Coord
1,25.0,-3.874302e-07
2,23.0,-3.874302e-07
3,21.14506,-3.874302e-07
4,19.424656,-3.874302e-07
5,17.829033,-3.874302e-07
6,16.349138,-3.874302e-07
7,14.976582,-3.874302e-07
8,13.703574,-3.874302e-07
9,12.522899,-3.874302e-07
10,11.4278555,-3.874302e-07
11,10.412236,-3.874302e-07
12,9.470279,-3.874302e-07
13,8.596642,-3.874302e-07
14,7.7863684,-3.874302e-07
15,7.034864,-3.874302e-07
16,6.337866,-3.874302e-07
17,5.6914206,-3.874302e-07
18,5.0918617,-3.874302e-07
19,4.535788,-3.874302e-07
20,4.0200467,-3.874302e-07
21,3.5417116,-3.874302e-07
22,3.09807,-3.874302e-07
23,2.6866052,-3.874302e-07
24,2.3049839,-3.874302e-07
25,1.9510413,-3.874302e-07
26,1.6227702,-3.874302e-07
27,1.3183082,-3.874302e-07
28,1.0359287,-3.874302e-07
29,0.77403015,-3.874302e-07
30,0.5311269,-3.874302e-07
31,0.30584127,-3.874302e-07
32,0.096895516,-3.874302e-07
33,-0.096895516,-3.874302e-07
34,-0.30584127,-3.874302e-07
35,-0.5311269,-3.874302e-07
36,-0.77403015,-3.874302e-07
37,-1.0359287,-3.874302e-07
38,-1.3183082,-3.874302e-07
39,-1.6227702,-3.874302e-07
40,-1.9510413,-3.874302e-07
41,-2.3049839,-3.874302e-07
42,-2.6866052,-3.874302e-07
43,-3.09807,-3.874302e-07
44,-3.5417116,-3.874302e-07
45,-4.0200467,-3.874302e-07
46,-4.535788,-3.874302e-07
47,-5.0918617,-3.874302e-07
48,-5.6914206,-3.874302e-07
49,-6.337866,-3.874302e-07
50,-7.034864,-3.874302e-07
51,-7.7863684,-3.874302e-07
52,-8.596642,-3.874302e-07
53,-9.470279,-3.874302e-07
54,-10.412236,-3.874302e-07
55,-11.4278555,-3.874302e-07
56,-12.522899,-3.874302e-07
57,-13.703574,-3.874302e-07
58,-14.976582,-3.874302e-07
59,-16.349138,-3.874302e-07
60,-17.829033,-3.874302e-07
61,-19.424656,-3.874302e-07
62,-21.14506,-3.874302e-07
63,-23.0,-3.874302e-07
64,-25.0,-3.874302e-07
65,25.0,-0.20000044
128,-25.0,-0.20000044
129,25.0,-0.46840873
192,-25.0,-0.46840873
193,25.0,-0.8286239
256,-25.0,-0.8286239
257,25.0,-1.3120481
320,-25.0,-1.3120481
321,25.0,-1.9608232
384,-25.0,-1.9608232
385,25.0,-2.8315067
448,-25.0,-2.8315067
449,25.0,-4.0
450,23.0,-4.0
451,21.14506,-4.0
452,19.424656,-4.0
453,17.829033,-4.0
454,16.349138,-4.0
455,14.976582,-4.0
456,13.703574,-4.0
457,12.522899,-4.0
458,11.4278555,-4.0
459,10.412236,-4.0
460,9.470279,-4.0
461,8.596642,-4.0
462,7.7863684,-4.0
463,7.034864,-4.0
464,6.337866,-4.0
465,5.6914206,-4.0
466,5.0918617,-4.0
467,4.535788,-4.0
468,4.0200467,-4.0
469,3.5417116,-4.0
470,3.09807,-4.0
471,2.6866052,-4.0
472,2.3049839,-4.0
473,1.9510413,-4.0
474,1.6227702,-4.0
475,1.3183082,-4.0
476,1.0359287,-4.0
477,0.77403015,-4.0
478,0.5311269,-4.0
479,0.30584127,-4.0
480,0.096895516,-4.0
481,-0.096895516,-4.0
482,-0.30584127,-4.0
483,-0.5311269,-4.0
484,-0.77403015,-4.0
485,-1.0359287,-4.0
486,-1.3183082,-4.0
487,-1.6227702,-4.0
488,-1.9510413,-4.0
489,-2.3049839,-4.0
490,-2.6866052,-4.0
491,-3.09807,-4.0
492,-3.5417116,-4.0
493,-4.0200467,-4.0
494,-4.535788,-4.0
495,-5.0918617,-4.0
496,-5.6914206,-4.0
497,-6.337866,-4.0
498,-7.034864,-4.0
499,-7.7863684,-4.0
500,-8.596642,-4.0
501,-9.470279,-4.0
502,-10.412236,-4.0
503,-11.4278555,-4.0
504,-12.522899,-4.0
505,-13.703574,-4.0
506,-14.976582,-4.0
507,-16.349138,-4.0
508,-17.829033,-4.0
509,-19.424656,-4.0
510,-21.14506,-4.0
511,-23.0,-4.0
512,-25.0,-4.0
