Time,Velocity
0.0,-10000.0
0.0005256659351289272,-9999.9716796875
0.0010561960516497493,-9999.96875
0.0015866775065660477,-9999.947265625
0.002117155585438013,-9999.947265625
0.002647612476721406,-9999.947265625
0.0031780472490936518,-9999.947265625
0.0037084820214658976,-9999.947265625
0.0042388709262013435,-9999.947265625
0.0047692591324448586,-9999.947265625
0.0052996352314949036,-9999.947265625
0.005829930305480957,-9999.947265625
0.0063602253794670105,-9999.9462890625
0.006890520453453064,-9999.9462890625
0.007420815527439117,-9999.9462890625
0.007951110601425171,-9999.9404296875
0.008481405675411224,-9999.9404296875
0.009011700749397278,-9999.935546875
0.009541995823383331,-9999.9345703125
0.010072290897369385,-9999.9345703125
0.010602585971355438,-9999.9345703125
0.011132881045341492,-9999.9345703125
0.011663176119327545,-9999.9345703125
0.012193471193313599,-9999.9345703125
0.012723766267299652,-9999.9345703125
0.013254061341285706,-9999.9345703125
0.013784356415271759,-9999.9345703125
0.014314651489257812,-9999.9345703125
0.014844946563243866,-9999.9345703125
0.01537524163722992,-9999.9345703125
0.015905437991023064,-9999.9345703125
0.016435546800494194,-9999.9345703125
0.016965655609965324,-9999.9345703125
0.017495764419436455,-9999.9345703125
0.018025873228907585,-9999.9345703125
0.018555982038378716,-9999.9345703125
0.019086090847849846,-9999.9345703125
0.019616199657320976,-9999.9345703125
0.020146308466792107,-9999.9345703125
0.020676417276263237,-9999.9345703125
0.021206526085734367,-9999.9345703125
0.021736634895205498,-9999.9345703125
0.022266743704676628,-9999.9345703125
0.02279685251414776,-9999.9345703125
0.02332696132361889,-9999.9345703125
0.02385707013309002,-9999.9345703125
0.02438717894256115,-9999.9345703125
0.02491728775203228,-9999.9345703125
0.02544739656150341,-9999.9345703125
0.02597750537097454,-9999.9345703125
0.02650761418044567,-9999.9345703125
0.0270377229899168,-9999.9345703125
0.027567831799387932,-9999.9345703125
0.028097940608859062,-9999.9345703125
0.028628049418330193,-9999.9345703125
0.029158158227801323,-9999.9345703125
0.029688267037272453,-9999.9345703125
0.030218375846743584,-9999.9345703125
0.030748484656214714,-9999.9345703125
0.031278613954782486,-9999.9345703125
0.03180909529328346,-9999.9345703125
0.03233957663178444,-9999.9345703125
0.032870057970285416,-9999.9345703125
0.03340053930878639,-9999.9345703125
0.03393102064728737,-9999.9345703125
0.034461501985788345,-9999.9345703125
0.03499198332428932,-9999.9345703125
0.0355224646627903,-9999.9345703125
0.036052946001291275,-9999.9345703125
0.03658342733979225,-9999.9345703125
0.03711390867829323,-9999.9345703125
0.037644390016794205,-9999.9345703125
0.03817487135529518,-9999.9345703125
0.03870535269379616,-9999.9345703125
0.039235834032297134,-9999.9345703125
0.03976631537079811,-9999.9345703125
0.04029679670929909,-9999.9345703125
0.040827278047800064,-9999.9345703125
0.04135775938630104,-9999.9345703125
0.04188824072480202,-9999.9345703125
0.042418722063302994,-9999.9345703125
0.04294920340180397,-9999.9345703125
0.04347968474030495,-9999.9345703125
0.04401016607880592,-9999.9345703125
0.0445406474173069,-9999.9345703125
0.04507112875580788,-9999.9345703125
0.04560161009430885,-9999.9345703125
0.04613209143280983,-9999.9345703125
0.046662572771310806,-9999.9345703125
0.04719305410981178,-9999.9345703125
0.04772353544831276,-9999.9345703125
0.048254016786813736,-9999.9345703125
0.04878449812531471,-9999.9345703125
0.04931497946381569,-9999.9345703125
0.049845460802316666,-9999.9345703125
0.05037594214081764,-9999.9345703125
0.05090642347931862,-9999.9345703125
0.051436904817819595,-9999.9345703125
0.05196738615632057,-9999.9345703125
0.05249786749482155,-9999.9345703125
0.053028348833322525,-9999.9345703125
0.0535588301718235,-9999.9345703125
0.05408931151032448,-9999.9345703125
0.054619792848825455,-9999.9345703125
0.05515027418732643,-9999.9345703125
0.05568075552582741,-9999.9345703125
0.056211236864328384,-9999.9345703125
0.05674171820282936,-9999.9345703125
0.05727219954133034,-9999.9345703125
0.057802680879831314,-9999.9345703125
0.05833316221833229,-9999.9345703125
0.05886364355683327,-9999.9345703125
0.059394124895334244,-9999.9345703125
0.05992460623383522,-9999.9345703125
0.0604550875723362,-9999.9345703125
0.06098556891083717,-9999.9345703125
0.06151605024933815,-9999.9345703125
0.06204653158783913,-9999.9345703125
0.0625770092010498,-9999.9345703125
0.06310749053955078,-9999.9345703125
0.06363797187805176,-9999.9345703125
0.06416845321655273,-9999.9345703125
0.06469893455505371,-9999.9345703125
0.06522941589355469,-9999.9345703125
0.06575989723205566,-9999.9345703125
0.06629037857055664,-9999.9345703125
0.06682085990905762,-9999.9345703125
0.06735072284936905,-8259.884765625
0.06786786019802094,-7187.1396484375
0.06838987022638321,-7096.0712890625
0.06891141086816788,-7096.0712890625
0.06934912502765656,-7096.0712890625
