Id,X_Coord,Y_Coord,Z_Coord
1,0.0,673.6667,3.5
2,0.0,677.1667,0.0
3,-3.5,673.6667,0.0
4,3.5,673.6667,0.0
5,0.0,673.6667,-3.5
6,0.0,670.1667,0.0
7,0.0,675.00604,3.2335784
8,0.0,676.14154,2.4748738
9,0.0,676.90027,1.3393921
10,-1.3393921,676.90027,0.0
11,-2.4748738,676.14154,0.0
12,-3.2335784,675.00604,0.0
13,-3.2335784,673.6667,1.3393921
14,-2.4748738,673.6667,2.4748738
15,-1.3393921,673.6667,3.2335784
16,1.3393921,673.6667,3.2335784
17,2.4748738,673.6667,2.4748738
18,3.2335784,673.6667,1.3393921
19,3.2335784,675.00604,0.0
20,2.4748738,676.14154,0.0
21,1.3393921,676.90027,0.0
22,0.0,676.90027,-1.3393921
23,0.0,676.14154,-2.4748738
24,0.0,675.00604,-3.2335784
25,-1.3393921,673.6667,-3.2335784
26,-2.4748738,673.6667,-2.4748738
27,-3.2335784,673.6667,-1.3393921
28,0.0,670.4331,1.3393921
29,0.0,671.1918,2.4748738
30,0.0,672.3273,3.2335784
31,-3.2335784,672.3273,0.0
32,-2.4748738,671.1918,0.0
33,-1.3393921,670.4331,0.0
34,1.3393921,670.4331,0.0
35,2.4748738,671.1918,0.0
36,3.2335784,672.3273,0.0
37,3.2335784,673.6667,-1.3393921
38,2.4748738,673.6667,-2.4748738
39,1.3393921,673.6667,-3.2335784
40,0.0,672.3273,-3.2335784
41,0.0,671.1918,-2.4748738
42,0.0,670.4331,-1.3393921
43,-1.1887448,675.4419,2.7722514
44,-1.1853143,676.4437,1.7700355
45,-1.9570776,675.7235,2.0467572
46,-2.0814152,674.8101,2.5710344
47,-2.7697089,675.18207,1.5106912
48,-2.0780125,676.2428,1.1382029
49,1.7686106,674.9015,2.7562938
50,1.9855461,675.7638,1.9772553
51,2.5820084,675.77814,1.0606658
52,1.6399236,676.4813,1.279969
53,1.4254787,676.1712,1.9862987
54,1.0616574,675.83954,2.5301461
55,0.85766375,676.4099,1.9972407
56,2.7734015,674.89795,1.7441964
57,-1.7686106,674.9015,-2.7562938
58,-1.9855461,675.7638,-1.9772553
59,-2.5820084,675.77814,-1.0606658
60,-1.6399236,676.4813,-1.279969
61,-1.4254787,676.1712,-1.9862987
62,-1.0616574,675.83954,-2.5301461
63,-0.85766375,676.4099,-1.9972407
64,-2.7734015,674.89795,-1.7441964
65,-1.7686106,672.4318,2.7562938
66,-1.9855461,671.5695,1.9772553
67,-2.5820084,671.55524,1.0606658
68,-1.6399236,670.852,1.279969
69,-1.4254787,671.1622,1.9862987
70,-1.0616574,671.49384,2.5301461
71,-0.85766375,670.9234,1.9972407
72,-2.7734015,672.4354,1.7441964
73,1.1887448,671.8914,2.7722514
74,1.1853143,670.8896,1.7700355
75,1.9570776,671.6098,2.0467572
76,2.0814152,672.5232,2.5710344
77,2.7697089,672.15125,1.5106912
78,2.0780125,671.0906,1.1382029
79,1.1887448,675.4419,-2.7722514
80,1.1853143,676.4437,-1.7700355
81,1.9570776,675.7235,-2.0467572
82,2.0814152,674.8101,-2.5710344
83,2.7697089,675.18207,-1.5106912
84,2.0780125,676.2428,-1.1382029
85,-1.1887448,671.8914,-2.7722514
86,-1.1853143,670.8896,-1.7700355
87,-1.9570776,671.6098,-2.0467572
88,-2.0814152,672.5232,-2.5710344
89,-2.7697089,672.15125,-1.5106912
90,-2.0780125,671.0906,-1.1382029
91,1.7686106,672.4318,-2.7562938
92,1.9855461,671.5695,-1.9772553
93,2.5820084,671.55524,-1.0606658
94,1.6399236,670.852,-1.279969
95,1.4254787,671.1622,-1.9862987
96,1.0616574,671.49384,-2.5301461
97,0.85766375,670.9234,-1.9972407
98,2.7734015,672.4354,-1.7441964
