INDEX,SIMULATION_TIME,SIMULATION_LENGTH,COMPLETED,INIT_SPEED,ANGLE,CIRCLE_RADIUS
2483,26.4430720806122,0.0746837630867958,True,1438.80147729683,-8.82508193484044,1.74907684197293
2484,29.2730710506439,0.0781632512807846,True,829.349167372422,40.6252086763972,2.79294930058759
2485,105.627357006073,0.159795001149178,False,1495.04252999882,-20.8724423688706,3.54364677300299
2486,29.5444808006287,0.0810418426990509,True,945.238785031824,47.491327730994,3.41937901611392
2487,23.6161878108978,0.067950926721096,True,327.561048185508,-48.3075390379864,2.37069443683206
2488,27.2168407440186,0.0750643163919449,True,1399.81109902951,34.1139835716967,1.86303472693663
2489,31.1110656261444,0.0818906724452972,True,1348.47193088803,-34.2078300814174,3.06774693650809
2490,29.5924351215363,0.0821062922477722,True,869.684202136196,12.2015381853343,3.24345424675026
2491,26.8791801929474,0.076500341296196,True,385.545966546042,-43.4559225039139,3.80949621730188
2492,28.813241481781,0.0795492902398109,True,1269.73978715153,-29.3312065287199,2.66336477651103
2493,28.9147706031799,0.0789546221494675,True,926.264910701314,32.0030430041322,2.73490061177969
2494,25.2276957035065,0.0725614279508591,True,469.588908564344,-0.0816187733167268,1.90694976706956
2495,23.5926156044006,0.0695802867412567,True,262.48702960086,14.0948352783271,1.75712298907026
2496,23.5924878120422,0.0685779899358749,True,534.263312666237,50.4553135395888,1.69955980294128
2497,34.3733065128326,0.0858847349882126,True,1270.23806330967,11.9140182177822,2.87686710277733
2498,29.9757249355316,0.0802239999175072,True,1437.67808761058,33.591511202833,2.71803458572735
2499,29.5463852882385,0.0809535682201385,True,1148.42741041432,-33.9903616209731,3.00001120669339
2500,23.0117988586426,0.0670260563492775,True,302.781585944135,-45.1899509650314,1.55487849419892
2501,27.6964380741119,0.0770656615495682,True,1010.84496621138,-21.9859870223938,2.28762871191815
2502,27.9543967247009,0.0764923617243767,True,955.585043080649,31.6229911328467,2.28567327952349
2503,26.9724106788635,0.0737284719944,True,1154.52648258469,-40.918973699203,1.7753025867707
2504,27.8968529701233,0.0799836292862892,True,340.168534397351,-19.4058940918873,3.73187145761844
2505,22.5824289321899,0.0632088556885719,True,305.942595397812,59.1933199621527,3.48054146363205
2506,33.3660492897034,0.0858657881617546,True,1338.3181364254,-40.2033495893761,3.91162241218839
2507,30.8141255378723,0.0806315690279007,True,1460.70879556066,-36.1518583279794,2.80423309735052
2508,26.0802607536316,0.0738142058253288,True,774.686881286072,28.6927124291775,1.91728342722122
2509,28.5366868972778,0.0793548226356506,True,524.918414838673,35.291458773452,3.40664365245603
2510,28.4050409793854,0.0798173844814301,True,998.332681646238,8.42556957816885,2.76344221335078
2511,29.175094127655,0.0815409421920776,True,488.326662452515,28.2871213519322,3.70095913487157
2512,28.5026209354401,0.0777580365538597,True,1022.82364902208,40.5626473023349,2.61200588436685
2513,31.6401147842407,0.0844887644052505,True,901.988603891306,-24.3344710087628,3.6973471331166
2514,30.4768192768097,0.0820650011301041,True,1201.09739509237,-51.1898269437517,3.48276465235574
2515,23.7091999053955,0.0681842714548111,True,405.974640049316,54.0071080624636,2.52044219547644
2516,29.3439948558807,0.0796197280287743,True,897.056849072143,19.7322308481501,2.83102006405133
2517,27.9541175365448,0.0777648687362671,True,1277.71343045519,-3.40584410987575,2.23758474253003
2518,24.7210686206818,0.0720036923885345,True,650.111101047928,9.11077097882965,1.58871385395215
2519,25.2562291622162,0.0735120475292206,True,482.902677924805,-6.19363523644434,2.0507515443062
2520,27.4712264537811,0.0763266906142235,True,467.130568463356,41.2402157706485,3.25098723349796
2521,28.0369985103607,0.0766380727291107,True,1243.06805467983,-48.3859018441097,2.40612906116729
2522,26.3155648708344,0.0756468921899796,True,319.16696880758,14.2096557772756,2.94617232908243
2523,28.2196049690247,0.0785922929644585,True,866.798649262095,15.7619635343541,2.64537744346768
2524,25.290146112442,0.0724635273218155,True,661.33770656338,27.2209388366287,1.78500391752227
2525,30.7843685150146,0.0805076435208321,True,1461.9459987735,43.5248309987316,2.8555149488239
2526,24.5499823093414,0.0716928690671921,True,371.143730861294,-17.2851925885843,2.01696692088859
2527,29.0134398937225,0.0794936567544937,True,676.513343504249,-43.8298723284999,3.40426942849942
2528,28.5859749317169,0.0780674293637276,True,742.036391078255,-51.7583426155619,3.36884458923896
2529,27.3601014614105,0.075381338596344,True,1348.53341014654,-59.2212386775268,2.38419668786462
2530,27.6125447750092,0.0747509077191353,True,1438.8149973615,51.7564857620113,2.01797664230053
2531,30.0830647945404,0.0833777263760567,True,991.990937899079,-2.56612648332624,3.15310969533902
