Id,X_Coord,Y_Coord,Z_Coord
1,-233.1083,137.03758,2.5
2,-233.1083,139.53758,0.0
3,-235.6083,137.03758,0.0
4,-230.6083,137.03758,0.0
5,-233.1083,137.03758,-2.5
6,-233.1083,134.53758,0.0
7,-233.1083,137.99428,2.3096988
8,-233.1083,138.80534,1.767767
9,-233.1083,139.34727,0.9567086
10,-234.06503,139.34727,0.0
11,-234.87607,138.80534,0.0
12,-235.418,137.99428,0.0
13,-235.418,137.03758,0.9567086
14,-234.87607,137.03758,1.767767
15,-234.06503,137.03758,2.3096988
16,-232.15158,137.03758,2.3096988
17,-231.34055,137.03758,1.767767
18,-230.79861,137.03758,0.9567086
19,-230.79861,137.99428,0.0
20,-231.34055,138.80534,0.0
21,-232.15158,139.34727,0.0
22,-233.1083,139.34727,-0.9567086
23,-233.1083,138.80534,-1.767767
24,-233.1083,137.99428,-2.3096988
25,-234.06503,137.03758,-2.3096988
26,-234.87607,137.03758,-1.767767
27,-235.418,137.03758,-0.9567086
28,-233.1083,134.72786,0.9567086
29,-233.1083,135.26979,1.767767
30,-233.1083,136.08086,2.3096988
31,-235.418,136.08086,0.0
32,-234.87607,135.26979,0.0
33,-234.06503,134.72786,0.0
34,-232.15158,134.72786,0.0
35,-231.34055,135.26979,0.0
36,-230.79861,136.08086,0.0
37,-230.79861,137.03758,-0.9567086
38,-231.34055,137.03758,-1.767767
39,-232.15158,137.03758,-2.3096988
40,-233.1083,136.08086,-2.3096988
41,-233.1083,135.26979,-1.767767
42,-233.1083,134.72786,-0.9567086
43,-233.95743,138.30562,1.9801795
44,-233.95499,139.02116,1.2643111
45,-234.50626,138.50676,1.4619695
46,-234.59506,137.85432,1.8364531
47,-235.0867,138.12001,1.0790651
48,-234.59262,138.87764,0.81300205
49,-231.845,137.9196,1.9687814
50,-231.6901,138.53554,1.4123253
51,-231.264,138.54576,0.7576184
52,-231.93692,139.04805,0.91426355
53,-232.09012,138.82652,1.4187847
54,-232.35,138.58961,1.8072472
55,-232.4957,138.99702,1.4266005
56,-231.12729,137.91704,1.2458546
57,-234.37161,137.9196,-1.9687814
58,-234.52658,138.53554,-1.4123253
59,-234.9526,138.54576,-0.7576184
60,-234.2797,139.04805,-0.91426355
61,-234.1265,138.82652,-1.4187847
62,-233.86667,138.58961,-1.8072472
63,-233.72092,138.99702,-1.4266005
64,-235.08932,137.91704,-1.2458546
65,-234.37161,136.15553,1.9687814
66,-234.52658,135.5396,1.4123253
67,-234.9526,135.5294,0.7576184
68,-234.2797,135.02708,0.91426355
69,-234.1265,135.24864,1.4187847
70,-233.86667,135.48555,1.8072472
71,-233.72092,135.07811,1.4266005
72,-235.08932,136.1581,1.2458546
73,-232.25925,135.76955,1.9801795
74,-232.26169,135.05397,1.2643111
75,-231.71042,135.5684,1.4619695
76,-231.62161,136.22081,1.8364531
77,-231.12997,135.95512,1.0790651
78,-231.62405,135.1975,0.81300205
79,-232.25925,138.30562,-1.9801795
80,-232.26169,139.02116,-1.2643111
81,-231.71042,138.50676,-1.4619695
82,-231.62161,137.85432,-1.8364531
83,-231.12997,138.12001,-1.0790651
84,-231.62405,138.87764,-0.81300205
85,-233.95743,135.76955,-1.9801795
86,-233.95499,135.05397,-1.2643111
87,-234.50626,135.5684,-1.4619695
88,-234.59506,136.22081,-1.8364531
89,-235.0867,135.95512,-1.0790651
90,-234.59262,135.1975,-0.81300205
91,-231.845,136.15553,-1.9687814
92,-231.6901,135.5396,-1.4123253
93,-231.264,135.5294,-0.7576184
94,-231.93692,135.02708,-0.91426355
95,-232.09012,135.24864,-1.4187847
96,-232.35,135.48555,-1.8072472
97,-232.4957,135.07811,-1.4266005
98,-231.12729,136.1581,-1.2458546
