Id,X_Coord,Y_Coord,Z_Coord
1,-233.97432,138.57664,3.5
2,-233.97432,142.07664,0.0
3,-237.47432,138.57664,0.0
4,-230.47432,138.57664,0.0
5,-233.97432,138.57664,-3.5
6,-233.97432,135.07664,0.0
7,-233.97432,139.91603,3.2335784
8,-233.97432,141.0515,2.4748738
9,-233.97432,141.81023,1.3393921
10,-235.31374,141.81023,0.0
11,-236.44923,141.0515,0.0
12,-237.2079,139.91603,0.0
13,-237.2079,138.57664,1.3393921
14,-236.44923,138.57664,2.4748738
15,-235.31374,138.57664,3.2335784
16,-232.63496,138.57664,3.2335784
17,-231.49947,138.57664,2.4748738
18,-230.74074,138.57664,1.3393921
19,-230.74074,139.91603,0.0
20,-231.49947,141.0515,0.0
21,-232.63496,141.81023,0.0
22,-233.97432,141.81023,-1.3393921
23,-233.97432,141.0515,-2.4748738
24,-233.97432,139.91603,-3.2335784
25,-235.31374,138.57664,-3.2335784
26,-236.44923,138.57664,-2.4748738
27,-237.2079,138.57664,-1.3393921
28,-233.97432,135.34306,1.3393921
29,-233.97432,136.10176,2.4748738
30,-233.97432,137.23723,3.2335784
31,-237.2079,137.23723,0.0
32,-236.44923,136.10176,0.0
33,-235.31374,135.34306,0.0
34,-232.63496,135.34306,0.0
35,-231.49947,136.10176,0.0
36,-230.74074,137.23723,0.0
37,-230.74074,138.57664,-1.3393921
38,-231.49947,138.57664,-2.4748738
39,-232.63496,138.57664,-3.2335784
40,-233.97432,137.23723,-3.2335784
41,-233.97432,136.10176,-2.4748738
42,-233.97432,135.34306,-1.3393921
43,-235.1631,140.35188,2.7722514
44,-235.15962,141.35368,1.7700355
45,-235.93141,140.6335,2.0467572
46,-236.05574,139.72008,2.5710344
47,-236.74403,140.09206,1.5106912
48,-236.05232,141.15276,1.1382029
49,-232.2057,139.81148,2.7562938
50,-231.98878,140.67378,1.9772553
51,-231.39235,140.6881,1.0606658
52,-232.33443,141.39131,1.279969
53,-232.54884,141.08116,1.9862987
54,-232.91267,140.74947,2.5301461
55,-233.11665,141.3199,1.9972407
56,-231.20094,139.8079,1.7441964
57,-235.74294,139.81148,-2.7562938
58,-235.95985,140.67378,-1.9772553
59,-236.55635,140.6881,-1.0606658
60,-235.61427,141.39131,-1.279969
61,-235.3998,141.08116,-1.9862987
62,-235.03596,140.74947,-2.5301461
63,-234.83199,141.3199,-1.9972407
64,-236.74776,139.8079,-1.7441964
65,-235.74294,137.34178,2.7562938
66,-235.95985,136.47948,1.9772553
67,-236.55635,136.4652,1.0606658
68,-235.61427,135.76198,1.279969
69,-235.3998,136.07213,1.9862987
70,-235.03596,136.4038,2.5301461
71,-234.83199,135.83339,1.9972407
72,-236.74776,137.34535,1.7441964
73,-232.7856,136.80138,2.7722514
74,-232.78902,135.79958,1.7700355
75,-232.01723,136.51979,2.0467572
76,-231.8929,137.43318,2.5710344
77,-231.2046,137.0612,1.5106912
78,-231.89632,136.00053,1.1382029
79,-232.7856,140.35188,-2.7722514
80,-232.78902,141.35368,-1.7700355
81,-232.01723,140.6335,-2.0467572
82,-231.8929,139.72008,-2.5710344
83,-231.2046,140.09206,-1.5106912
84,-231.89632,141.15276,-1.1382029
85,-235.1631,136.80138,-2.7722514
86,-235.15962,135.79958,-1.7700355
87,-235.93141,136.51979,-2.0467572
88,-236.05574,137.43318,-2.5710344
89,-236.74403,137.0612,-1.5106912
90,-236.05232,136.00053,-1.1382029
91,-232.2057,137.34178,-2.7562938
92,-231.98878,136.47948,-1.9772553
93,-231.39235,136.4652,-1.0606658
94,-232.33443,135.76198,-1.279969
95,-232.54884,136.07213,-1.9862987
96,-232.91267,136.4038,-2.5301461
97,-233.11665,135.83339,-1.9972407
98,-231.20094,137.34535,-1.7441964
