Id,X_Coord,Y_Coord,Z_Coord
1,-580.38135,338.58334,3.5
2,-580.38135,342.08334,0.0
3,-583.88135,338.58334,0.0
4,-576.88135,338.58334,0.0
5,-580.38135,338.58334,-3.5
6,-580.38135,335.08334,0.0
7,-580.38135,339.92273,3.2335784
8,-580.38135,341.0582,2.4748738
9,-580.38135,341.81693,1.3393921
10,-581.72076,341.81693,0.0
11,-582.85626,341.0582,0.0
12,-583.6149,339.92273,0.0
13,-583.6149,338.58334,1.3393921
14,-582.85626,338.58334,2.4748738
15,-581.72076,338.58334,3.2335784
16,-579.042,338.58334,3.2335784
17,-577.9065,338.58334,2.4748738
18,-577.14777,338.58334,1.3393921
19,-577.14777,339.92273,0.0
20,-577.9065,341.0582,0.0
21,-579.042,341.81693,0.0
22,-580.38135,341.81693,-1.3393921
23,-580.38135,341.0582,-2.4748738
24,-580.38135,339.92273,-3.2335784
25,-581.72076,338.58334,-3.2335784
26,-582.85626,338.58334,-2.4748738
27,-583.6149,338.58334,-1.3393921
28,-580.38135,335.34976,1.3393921
29,-580.38135,336.10846,2.4748738
30,-580.38135,337.24393,3.2335784
31,-583.6149,337.24393,0.0
32,-582.85626,336.10846,0.0
33,-581.72076,335.34976,0.0
34,-579.042,335.34976,0.0
35,-577.9065,336.10846,0.0
36,-577.14777,337.24393,0.0
37,-577.14777,338.58334,-1.3393921
38,-577.9065,338.58334,-2.4748738
39,-579.042,338.58334,-3.2335784
40,-580.38135,337.24393,-3.2335784
41,-580.38135,336.10846,-2.4748738
42,-580.38135,335.34976,-1.3393921
43,-581.5701,340.35858,2.7722514
44,-581.56665,341.36038,1.7700355
45,-582.33844,340.6402,2.0467572
46,-582.46277,339.72678,2.5710344
47,-583.15106,340.09875,1.5106912
48,-582.45935,341.15945,1.1382029
49,-578.61273,339.81818,2.7562938
50,-578.3958,340.68048,1.9772553
51,-577.7994,340.6948,1.0606658
52,-578.74146,341.398,1.279969
53,-578.9559,341.08786,1.9862987
54,-579.3197,340.75616,2.5301461
55,-579.5237,341.3266,1.9972407
56,-577.608,339.8146,1.7441964
57,-582.14996,339.81818,-2.7562938
58,-582.3669,340.68048,-1.9772553
59,-582.9634,340.6948,-1.0606658
60,-582.0213,341.398,-1.279969
61,-581.8068,341.08786,-1.9862987
62,-581.443,340.75616,-2.5301461
63,-581.239,341.3266,-1.9972407
64,-583.1548,339.8146,-1.7441964
65,-582.14996,337.34848,2.7562938
66,-582.3669,336.48618,1.9772553
67,-582.9634,336.4719,1.0606658
68,-582.0213,335.76868,1.279969
69,-581.8068,336.07883,1.9862987
70,-581.443,336.4105,2.5301461
71,-581.239,335.8401,1.9972407
72,-583.1548,337.35205,1.7441964
73,-579.1926,336.80807,2.7722514
74,-579.19604,335.80627,1.7700355
75,-578.42426,336.5265,2.0467572
76,-578.2999,337.43988,2.5710344
77,-577.61163,337.0679,1.5106912
78,-578.30334,336.00723,1.1382029
79,-579.1926,340.35858,-2.7722514
80,-579.19604,341.36038,-1.7700355
81,-578.42426,340.6402,-2.0467572
82,-578.2999,339.72678,-2.5710344
83,-577.61163,340.09875,-1.5106912
84,-578.30334,341.15945,-1.1382029
85,-581.5701,336.80807,-2.7722514
86,-581.56665,335.80627,-1.7700355
87,-582.33844,336.5265,-2.0467572
88,-582.46277,337.43988,-2.5710344
89,-583.15106,337.0679,-1.5106912
90,-582.45935,336.00723,-1.1382029
91,-578.61273,337.34848,-2.7562938
92,-578.3958,336.48618,-1.9772553
93,-577.7994,336.4719,-1.0606658
94,-578.74146,335.76868,-1.279969
95,-578.9559,336.07883,-1.9862987
96,-579.3197,336.4105,-2.5301461
97,-579.5237,335.8401,-1.9972407
98,-577.608,337.35205,-1.7441964
