Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.2128216,-0.19259357
3,-0.32442236,-0.34434414
4,-0.32795835,-0.5663476
5,-0.31448412,-0.78022575
6,-0.30429578,-0.97845435
7,-0.2934506,-1.1629386
8,-0.2836988,-1.3348544
9,-0.2738824,-1.4939439
10,-0.2650168,-1.6420233
11,-0.25623155,-1.7788503
12,-0.24833274,-1.9060404
13,-0.24056172,-2.023455
14,-0.23358202,-2.1324744
15,-0.22673512,-2.2331445
16,-0.22061527,-2.326579
17,-0.21461427,-2.4127796
18,-0.20930064,-2.492751
19,-0.20405126,-2.5665443
20,-0.19942033,-2.6349506
21,-0.19477391,-2.698147
22,-0.19069004,-2.7567017
23,-0.18639994,-2.810703
24,-0.18269134,-2.8606942
25,-0.17833805,-2.9066248
26,-0.1710397,-2.945795
27,-0.15182793,-2.971429
28,-0.124973774,-2.989791
29,-0.06884718,-3.0362902
30,-0.005239129,-3.0768032
31,0.044228435,-3.0921788
32,0.07170999,-3.0734835
33,0.10751879,-3.0624042
34,0.15907472,-3.0628378
35,0.20919311,-3.0691967
36,0.24921316,-3.0815792
37,0.1985398,-3.007062
38,0.18246502,-2.9279408
39,0.18954623,-2.8938365
40,0.19184232,-2.8504734
41,0.19561625,-2.8050218
42,0.19865137,-2.754996
43,0.20236754,-2.7014143
44,0.20603979,-2.643301
45,0.210293,-2.5807807
46,0.21458304,-2.513058
47,0.21948558,-2.4401708
48,0.22442824,-2.361106
49,0.23003882,-2.27609
50,0.23571777,-2.1839497
51,0.24211472,-2.0847814
52,0.24859965,-1.9773774
53,0.2558508,-1.861943
54,0.26320052,-1.736933
55,0.2713604,-1.6025939
56,0.2796054,-1.4572723
57,0.28873605,-1.3013582
58,0.29779208,-1.1329699
59,0.30794835,-0.9524834
60,0.31736338,-0.7586312
61,0.32976174,-0.549613
62,0.3243909,-0.33363533
63,0.20966613,-0.18911695
64,0.0,0.0
65,0.0,0.0
128,0.0,0.0
129,0.0,0.0
192,0.0,0.0
193,0.0,0.0
256,0.0,0.0
257,0.0,0.0
320,0.0,0.0
321,0.0,0.0
384,0.0,0.0
385,0.0,0.0
448,0.0,0.0
449,0.0,0.0
450,0.12184876,-0.11838865
451,0.18721378,-0.30249214
452,0.20326322,-0.5326104
453,0.21790248,-0.7421775
454,0.23156232,-0.9421761
455,0.24337322,-1.1251318
456,0.25470328,-1.2978618
457,0.264305,-1.456222
458,0.27377647,-1.6047761
459,0.28168428,-1.7413726
460,0.28951252,-1.8687735
461,0.296039,-1.9862103
462,0.30248618,-2.09546
463,0.3078739,-2.1962135
464,0.3131824,-2.2897525
465,0.3176226,-2.3761802
466,0.3220014,-2.4562733
467,0.32564247,-2.5302005
468,0.32900357,-2.5985193
469,0.33110046,-2.6613445
470,0.3317675,-2.7188754
471,0.3282578,-2.769866
472,0.31766725,-2.8128357
473,0.29427254,-2.8443408
474,0.25803423,-2.8638654
475,0.21594644,-2.8763356
476,0.16951895,-2.883412
477,0.11942786,-2.8853402
478,0.07629144,-2.8879232
479,0.030792713,-2.8874338
480,-0.014532566,-2.886826
481,-0.058853745,-2.8865585
482,-0.10630047,-2.8885617
483,-0.15887499,-2.8935509
484,-0.20842826,-2.8942041
485,-0.24973345,-2.8866992
486,-0.28134167,-2.870558
487,-0.3020122,-2.843943
488,-0.31341255,-2.8089166
489,-0.31854892,-2.7665546
490,-0.31948912,-2.7186065
491,-0.31846726,-2.6655786
492,-0.3159361,-2.6078944
493,-0.31287277,-2.5453098
494,-0.30922067,-2.477598
495,-0.30545914,-2.4044204
496,-0.3010429,-2.3254695
497,-0.29652905,-2.2401836
498,-0.29121053,-2.1480289
499,-0.28578377,-2.0487933
500,-0.27939212,-1.9412217
501,-0.27290034,-1.8257842
502,-0.26520944,-1.7006478
503,-0.25738525,-1.5666008
504,-0.24820757,-1.4209855
505,-0.23879969,-1.2657223
506,-0.22787845,-1.0967228
507,-0.21639836,-0.91749144
508,-0.20330238,-0.7220707
509,-0.18916094,-0.517313
510,-0.17398512,-0.2927084
511,-0.11214173,-0.110844135
512,0.0,0.0
