Id,X_Disp,Y_Disp
1,0.0,0.0
2,-0.8500793,-0.9462414
3,-1.2407902,-1.856678
4,-1.0275108,-2.8342094
5,-0.74335146,-3.7485867
6,-0.47809076,-4.5940075
7,-0.23338033,-5.382756
8,-0.003966596,-6.1124287
9,0.20895182,-6.7911754
10,0.4066005,-7.420099
11,0.5909226,-8.003593
12,0.761131,-8.544151
13,0.91999555,-9.046774
14,1.0665432,-9.512069
15,1.2032981,-9.944321
16,1.3296617,-10.344662
17,1.447211,-10.716532
18,1.5559267,-11.060697
19,1.6569737,-11.379944
20,1.7510927,-11.675667
21,1.8378705,-11.950624
22,1.9177933,-12.207872
23,1.9892908,-12.453416
24,2.0511456,-12.698585
25,2.1027157,-12.962369
26,2.165181,-13.2801485
27,2.2071178,-13.590396
28,2.233279,-13.902437
29,2.285475,-14.050153
30,2.3514695,-14.180433
31,2.3393743,-14.384257
32,2.3347566,-14.637023
33,-2.2932217,-14.512673
34,-2.2909968,-14.272911
35,-2.290888,-14.096532
36,-2.2318308,-13.949219
37,-2.1842587,-13.810929
38,-2.1566012,-13.500112
39,-2.1199913,-13.189442
40,-2.0584366,-12.874583
41,-2.0083888,-12.614813
42,-1.9468486,-12.37105
43,-1.8770711,-12.127756
44,-1.7982693,-11.872149
45,-1.7128931,-11.599406
46,-1.6200291,-11.305705
47,-1.5208296,-10.988838
48,-1.4136041,-10.647177
49,-1.2980058,-10.278013
50,-1.1734912,-9.88095
51,-1.0390139,-9.451366
52,-0.89459443,-8.989243
53,-0.73824364,-8.490507
54,-0.5705739,-7.9537425
55,-0.3890814,-7.373381
56,-0.1942898,-6.749638
57,0.015814524,-6.075766
58,0.2424498,-5.350443
59,0.48382604,-4.5680914
60,0.7461064,-3.7276115
61,1.0262084,-2.8183727
62,1.2369144,-1.8448563
63,0.84916633,-0.94393253
64,0.0,0.0
65,0.0,0.0
66,-0.5318438,-0.6711674
67,-0.6391204,-1.6481972
68,-0.36129272,-2.626522
69,-0.074557744,-3.5379143
70,0.18913247,-4.3842745
71,0.4364815,-5.1704807
72,0.6661204,-5.902155
73,0.87921274,-6.578952
74,1.0779427,-7.2082286
75,1.2615392,-7.791158
