Id,X_Coord,Y_Coord,Z_Coord
204,-16.151606,0.0,-6.5943203
205,-16.151606,-1.0,-7.658823
206,-16.151606,0.0,-7.658823
207,-16.151606,-1.0,-8.810636
208,-16.151606,0.0,-8.810636
209,-16.151606,-1.0,-10.056921
210,-16.151606,0.0,-10.056921
211,-16.151606,-1.0,-11.405427
212,-16.151606,0.0,-11.405427
213,-16.151606,-1.0,-12.864538
214,-16.151606,0.0,-12.864538
215,-16.151606,-1.0,-14.443326
216,-16.151606,0.0,-14.443326
217,-16.151606,-1.0,-16.151606
218,-16.151606,0.0,-16.151606
219,-16.151606,-1.0,-18.0
220,-16.151606,0.0,-18.0
221,-16.151606,-1.0,-20.0
222,-16.151606,0.0,-20.0
223,-14.443326,-1.0,20.0
224,-14.443326,0.0,20.0
225,-14.443326,-1.0,18.0
226,-14.443326,0.0,18.0
227,-14.443326,-1.0,16.151608
228,-14.443326,0.0,16.151608
229,-14.443326,-1.0,14.443325
230,-14.443326,0.0,14.443325
231,-14.443326,-1.0,12.864536
232,-14.443326,0.0,12.864536
233,-14.443326,-1.0,11.405426
234,-14.443326,0.0,11.405426
235,-14.443326,-1.0,10.056921
236,-14.443326,0.0,10.056921
237,-14.443326,-1.0,8.8106365
238,-14.443326,0.0,8.8106365
239,-14.443326,-1.0,7.658823
240,-14.443326,0.0,7.658823
241,-14.443326,-1.0,6.5943203
242,-14.443326,0.0,6.5943203
243,-14.443326,-1.0,5.61051
244,-14.443326,0.0,5.61051
245,-14.443326,-1.0,4.701277
246,-14.443326,0.0,4.701277
247,-14.443326,-1.0,3.8609638
248,-14.443326,0.0,3.8609638
249,-14.443326,-1.0,3.0843506
250,-14.443326,0.0,3.0843506
251,-14.443326,-1.0,2.3666077
252,-14.443326,0.0,2.3666077
253,-14.443326,-1.0,1.70327
254,-14.443326,0.0,1.70327
255,-14.443326,-1.0,1.0902157
256,-14.443326,0.0,1.0902157
257,-14.443326,-1.0,0.523634
258,-14.443326,0.0,0.523634
259,-14.443326,-1.0,0.0
260,-14.443326,0.0,0.0
261,-14.443326,-1.0,-0.523634
262,-14.443326,0.0,-0.523634
263,-14.443326,-1.0,-1.0902157
264,-14.443326,0.0,-1.0902157
265,-14.443326,-1.0,-1.70327
266,-14.443326,0.0,-1.70327
267,-14.443326,-1.0,-2.3666077
268,-14.443326,0.0,-2.3666077
269,-14.443326,-1.0,-3.0843506
270,-14.443326,0.0,-3.0843506
271,-14.443326,-1.0,-3.8609638
272,-14.443326,0.0,-3.8609638
273,-14.443326,-1.0,-4.701276
274,-14.443326,0.0,-4.701276
275,-14.443326,-1.0,-5.61051
276,-14.443326,0.0,-5.61051
277,-14.443326,-1.0,-6.5943203
278,-14.443326,0.0,-6.5943203
279,-14.443326,-1.0,-7.658823
280,-14.443326,0.0,-7.658823
281,-14.443326,-1.0,-8.810636
282,-14.443326,0.0,-8.810636
283,-14.443326,-1.0,-10.056921
284,-14.443326,0.0,-10.056921
285,-14.443326,-1.0,-11.405427
286,-14.443326,0.0,-11.405427
287,-14.443326,-1.0,-12.864538
288,-14.443326,0.0,-12.864538
289,-14.443326,-1.0,-14.443326
290,-14.443326,0.0,-14.443326
291,-14.443326,-1.0,-16.151606
292,-14.443326,0.0,-16.151606
293,-14.443326,-1.0,-18.0
294,-14.443326,0.0,-18.0
295,-14.443326,-1.0,-20.0
296,-14.443326,0.0,-20.0
297,-12.864538,-1.0,20.0
298,-12.864538,0.0,20.0
299,-12.864538,-1.0,18.0
300,-12.864538,0.0,18.0
301,-12.864538,-1.0,16.151608
302,-12.864538,0.0,16.151608
303,-12.864538,-1.0,14.443325
304,-12.864538,0.0,14.443325
305,-12.864538,-1.0,12.864536
306,-12.864538,0.0,12.864536
307,-12.864538,-1.0,11.405426
308,-12.864538,0.0,11.405426
309,-12.864538,-1.0,10.056921
310,-12.864538,0.0,10.056921
311,-12.864538,-1.0,8.8106365
312,-12.864538,0.0,8.8106365
313,-12.864538,-1.0,7.658823
314,-12.864538,0.0,7.658823
315,-12.864538,-1.0,6.5943203
316,-12.864538,0.0,6.5943203
317,-12.864538,-1.0,5.61051
318,-12.864538,0.0,5.61051
319,-12.864538,-1.0,4.701277
320,-12.864538,0.0,4.701277
321,-12.864538,-1.0,3.8609638
322,-12.864538,0.0,3.8609638
323,-12.864538,-1.0,3.0843506
324,-12.864538,0.0,3.0843506
325,-12.864538,-1.0,2.3666077
326,-12.864538,0.0,2.3666077
327,-12.864538,-1.0,1.70327
328,-12.864538,0.0,1.70327
329,-12.864538,-1.0,1.0902157
330,-12.864538,0.0,1.0902157
331,-12.864538,-1.0,0.523634
332,-12.864538,0.0,0.523634
333,-12.864538,-1.0,0.0
334,-12.864538,0.0,0.0
335,-12.864538,-1.0,-0.523634
336,-12.864538,0.0,-0.523634
337,-12.864538,-1.0,-1.0902157
