Id,X_Coord,Y_Coord,Z_Coord
1,-58.966366,731.7183,-330.9149
2,-58.966366,735.2183,-334.4149
3,-62.466366,731.7183,-334.4149
4,-55.466366,731.7183,-334.4149
5,-58.966366,731.7183,-337.9149
6,-58.966366,728.2183,-334.4149
7,-58.966366,733.0577,-331.1813
8,-58.966366,734.1932,-331.94
9,-58.966366,734.9519,-333.0755
10,-60.30576,734.9519,-334.4149
11,-61.441242,734.1932,-334.4149
12,-62.199944,733.0577,-334.4149
13,-62.199944,731.7183,-333.0755
14,-61.441242,731.7183,-331.94
15,-60.30576,731.7183,-331.1813
16,-57.626976,731.7183,-331.1813
17,-56.491493,731.7183,-331.94
18,-55.732788,731.7183,-333.0755
19,-55.732788,733.0577,-334.4149
20,-56.491493,734.1932,-334.4149
21,-57.626976,734.9519,-334.4149
22,-58.966366,734.9519,-335.75427
23,-58.966366,734.1932,-336.88977
24,-58.966366,733.0577,-337.64847
25,-60.30576,731.7183,-337.64847
26,-61.441242,731.7183,-336.88977
27,-62.199944,731.7183,-335.75427
28,-58.966366,728.48474,-333.0755
29,-58.966366,729.2434,-331.94
30,-58.966366,730.3789,-331.1813
31,-62.199944,730.3789,-334.4149
32,-61.441242,729.2434,-334.4149
33,-60.30576,728.48474,-334.4149
34,-57.626976,728.48474,-334.4149
35,-56.491493,729.2434,-334.4149
36,-55.732788,730.3789,-334.4149
37,-55.732788,731.7183,-335.75427
38,-56.491493,731.7183,-336.88977
39,-57.626976,731.7183,-337.64847
40,-58.966366,730.3789,-337.64847
41,-58.966366,729.2434,-336.88977
42,-58.966366,728.48474,-335.75427
43,-60.155113,733.4935,-331.64264
44,-60.15168,734.49536,-332.64484
45,-60.923443,733.77515,-332.36813
46,-61.047783,732.86176,-331.84384
47,-61.736076,733.23376,-332.9042
48,-61.04438,734.29443,-333.27667
49,-57.197758,732.9532,-331.6586
50,-56.98082,733.8155,-332.43762
51,-56.384357,733.8298,-333.35422
52,-57.326443,734.53296,-333.13492
53,-57.54089,734.22284,-332.4286
54,-57.90471,733.8912,-331.88474
55,-58.108704,734.46155,-332.41763
56,-56.192966,732.9496,-332.6707
57,-60.734978,732.9532,-337.17117
58,-60.951912,733.8155,-336.39215
59,-61.548374,733.8298,-335.47556
60,-60.60629,734.53296,-335.69485
61,-60.391846,734.22284,-336.40118
62,-60.028023,733.8912,-336.94504
63,-59.82403,734.46155,-336.41214
64,-61.73977,732.9496,-336.1591
65,-60.734978,730.48346,-331.6586
66,-60.951912,729.62115,-332.43762
67,-61.548374,729.6069,-333.35422
68,-60.60629,728.9036,-333.13492
69,-60.391846,729.2138,-332.4286
70,-60.028023,729.5455,-331.88474
71,-59.82403,728.97504,-332.41763
72,-61.73977,730.48706,-332.6707
73,-57.777622,729.94305,-331.64264
74,-57.78105,728.9413,-332.64484
75,-57.00929,729.66144,-332.36813
76,-56.884953,730.5748,-331.84384
77,-56.19666,730.2029,-332.9042
78,-56.888355,729.1422,-333.27667
79,-57.777622,733.4935,-337.18713
80,-57.78105,734.49536,-336.1849
81,-57.00929,733.77515,-336.46164
82,-56.884953,732.86176,-336.98593
83,-56.19666,733.23376,-335.92557
84,-56.888355,734.29443,-335.5531
85,-60.155113,729.94305,-337.18713
86,-60.15168,728.9413,-336.1849
87,-60.923443,729.66144,-336.46164
88,-61.047783,730.5748,-336.98593
89,-61.736076,730.2029,-335.92557
90,-61.04438,729.1422,-335.5531
91,-57.197758,730.48346,-337.17117
92,-56.98082,729.62115,-336.39215
93,-56.384357,729.6069,-335.47556
94,-57.326443,728.9036,-335.69485
95,-57.54089,729.2138,-336.40118
96,-57.90471,729.5455,-336.94504
97,-58.108704,728.97504,-336.41214
98,-56.192966,730.48706,-336.1591
